,Name,Out/NotOut,Runs,Balls,4s,6s,SR
131,Rohit Sharma,1,119,128,8,6,92.96
132,KL Rahul,1,19,27,2,0,70.37
133,Virat Kohli,1,89,91,8,0,97.80
134,Shreyas Iyer,0,44,35,6,1,125.71
135,Manish Pandey,0,8,4,2,0,200.00
136,Prithvi Shaw,1,20,21,3,0,95.23
137,Mayank Agarwal,1,32,31,6,0,103.22
138,Virat Kohli,1,51,63,6,0,80.95
139,Shreyas Iyer,1,103,107,11,1,96.26
140,KL Rahul,0,88,64,3,6,137.50
141,Kedar Jadhav,0,26,15,3,1,173.33
142,Prithvi Shaw,1,24,19,6,0,126.31
143,Mayank Agarwal,1,3,5,0,0,60.00
144,Virat Kohli,1,15,25,1,0,60.00
145,Shreyas Iyer,1,52,57,7,1,91.22
146,KL Rahul,1,4,8,0,0,50.00
147,Kedar Jadhav,1,9,27,1,0,33.33
148,Ravindra Jadeja,1,55,73,2,1,75.34
149,Shardul Thakur,1,18,15,3,0,120.00
150,Navdeep Saini,1,45,49,5,2,91.83
151,Yuzvendra Chahal,1,10,12,1,0,83.33
152,Jasprit Bumrah,0,0,1,0,0,0.00
153,Prithvi Shaw,1,40,42,3,2,95.23
154,Mayank Agarwal,1,1,3,0,0,33.33
155,Virat Kohli,1,9,12,0,1,75.00
156,Shreyas Iyer,1,62,63,9,0,98.41
157,KL Rahul,1,112,113,9,2,99.11
158,Manish Pandey,1,42,48,2,0,87.50
159,Ravindra Jadeja,0,8,7,1,0,114.28
160,Shardul Thakur,1,7,6,1,0,116.66
161,Navdeep Saini,0,8,6,2,0,133.33
162,Mayank Agarwal,1,22,18,2,1,122.22
163,Shikhar Dhawan,1,74,86,10,0,86.04
164,Virat Kohli,1,21,21,2,1,100.00
165,Shreyas Iyer,1,2,2,0,0,100.00
166,KL Rahul,1,12,15,1,0,80.00
167,Hardik Pandya,1,90,76,7,4,118.42
168,Ravindra Jadeja,1,25,37,0,1,67.56
169,Navdeep Saini,0,29,35,1,1,82.85
170,Mohammed Shami,1,13,10,1,1,130.00
171,Jasprit Bumrah,0,0,3,0,0,0.00
172,Mayank Agarwal,1,28,26,4,0,107.69
173,Shikhar Dhawan,1,30,23,5,0,130.43
174,Virat Kohli,1,89,87,7,2,102.29
175,Shreyas Iyer,1,38,36,5,0,105.55
176,KL Rahul,1,76,66,4,5,115.15
177,Hardik Pandya,1,28,31,1,1,90.32
178,Ravindra Jadeja,1,24,11,1,2,218.18
179,Navdeep Saini,0,10,10,1,0,100.00
180,Mohammed Shami,1,1,4,0,0,25.00
181,Jasprit Bumrah,1,0,2,0,0,0.00
182,Yuzvendra Chahal,0,4,6,0,0,66.66
183,Shikhar Dhawan,1,16,27,2,0,59.25
184,Shubman Gill,1,33,39,3,1,84.61
185,Virat Kohli,1,63,78,5,0,80.76
186,Shreyas Iyer,1,19,21,2,0,90.47
187,KL Rahul,1,5,11,0,0,45.45
188,Hardik Pandya,0,92,76,7,1,121.05
189,Ravindra Jadeja,0,66,50,5,3,132.00
190,Rohit Sharma,1,28,42,4,0,66.66
191,Shikhar Dhawan,1,98,106,11,2,92.45
192,Virat Kohli,1,56,60,6,0,93.33
193,Shreyas Iyer,1,6,9,1,0,66.66
194,KL Rahul,0,62,43,4,4,144.18
195,Hardik Pandya,1,1,9,0,0,11.11
196,Krunal Pandya,0,58,31,7,2,187.09
197,Rohit Sharma,1,25,25,5,0,100.00
198,Shikhar Dhawan,1,4,17,0,0,23.52
199,Virat Kohli,1,66,79,3,1,83.54
200,KL Rahul,1,108,114,7,2,94.73
201,Rishabh Pant,1,77,40,3,7,192.50
