Abc,Name,Out/NotOut,Runs,Balls,4s,6s,SR
6,Ravindra Jadeja,Out,25,32,2,1,78.12
7,Shardul Thakur,Out,13,10,2,0,130.00
8,Mohammed Shami,Out,10,15,1,0,66.66
9,Kuldeep Yadav,Out,17,15,2,0,113.33
10,Jasprit Bumrah,Not Out,0,0,0,0,-
0,Rohit Sharma,Out,42,44,6,0,95.45
1,Shikhar Dhawan,Out,96,90,13,1,106.66
2,Virat Kohli (c),Out,78,76,6,0,102.63
3,Shreyas Iyer,Out,7,17,1,0,41.17
4,KL Rahul,Out,80,52,6,3,153.84
5,Manish Pandey,Out,2,4,0,0,50.00
6,Ravindra Jadeja,Not Out,20,16,1,0,125.00
7,Mohammed Shami,Not Out,1,1,0,0,100.00
0,Rohit Sharma,Out,119,128,8,6,92.96
1,KL Rahul,Out,19,27,2,0,70.37
2,Virat Kohli (c),Out,89,91,8,0,97.80
3,Shreyas Iyer,Not Out,44,35,6,1,125.71
4,Manish Pandey,Not Out,8,4,2,0,200.00
0,Prithvi Shaw,Out,20,21,3,0,95.23
1,Mayank Agarwal,Out,32,31,6,0,103.22
2,Virat Kohli (c),Out,51,63,6,0,80.95
3,Shreyas Iyer,Out,103,107,11,1,96.26
4,KL Rahul,Not Out,88,64,3,6,137.50
5,Kedar Jadhav,Not Out,26,15,3,1,173.33
0,Prithvi Shaw,Out,24,19,6,0,126.31
1,Mayank Agarwal,Out,3,5,0,0,60.00
2,Virat Kohli (c),Out,15,25,1,0,60.00
3,Shreyas Iyer,Out,52,57,7,1,91.22
4,KL Rahul,Out,4,8,0,0,50.00
5,Kedar Jadhav,Out,9,27,1,0,33.33
6,Ravindra Jadeja,Out,55,73,2,1,75.34
7,Shardul Thakur,Out,18,15,3,0,120.00
8,Navdeep Saini,Out,45,49,5,2,91.83
9,Yuzvendra Chahal,Out,10,12,1,0,83.33
10,Jasprit Bumrah,Not Out,0,1,0,0,0.00
0,Prithvi Shaw,Out,40,42,3,2,95.23
1,Mayank Agarwal,Out,1,3,0,0,33.33
2,Virat Kohli (c),Out,9,12,0,1,75.00
3,Shreyas Iyer,Out,62,63,9,0,98.41
4,KL Rahul,Out,112,113,9,2,99.11
5,Manish Pandey,Out,42,48,2,0,87.50
6,Ravindra Jadeja,Not Out,8,7,1,0,114.28
7,Shardul Thakur,Out,7,6,1,0,116.66
8,Navdeep Saini,Not Out,8,6,2,0,133.33
0,Mayank Agarwal,Out,22,18,2,1,122.22
1,Shikhar Dhawan,Out,74,86,10,0,86.04
2,Virat Kohli (c),Out,21,21,2,1,100.00
3,Shreyas Iyer,Out,2,2,0,0,100.00
4,KL Rahul,Out,12,15,1,0,80.00
5,Hardik Pandya,Out,90,76,7,4,118.42
6,Ravindra Jadeja,Out,25,37,0,1,67.56
7,Navdeep Saini,Not Out,29,35,1,1,82.85
8,Mohammed Shami,Out,13,10,1,1,130.00
9,Jasprit Bumrah,Not Out,0,3,0,0,0.00
0,Mayank Agarwal,Out,28,26,4,0,107.69
1,Shikhar Dhawan,Out,30,23,5,0,130.43
2,Virat Kohli (c),Out,89,87,7,2,102.29
3,Shreyas Iyer,Out,38,36,5,0,105.55
4,KL Rahul,Out,76,66,4,5,115.15
5,Hardik Pandya,Out,28,31,1,1,90.32
6,Ravindra Jadeja,Out,24,11,1,2,218.18
7,Navdeep Saini,Not Out,10,10,1,0,100.00
8,Mohammed Shami,Out,1,4,0,0,25.00
9,Jasprit Bumrah,Out,0,2,0,0,0.00
10,Yuzvendra Chahal,Not Out,4,6,0,0,66.66
0,Shikhar Dhawan,Out,16,27,2,0,59.25
1,Shubman Gill,Out,33,39,3,1,84.61
2,Virat Kohli (c),Out,63,78,5,0,80.76
3,Shreyas Iyer,Out,19,21,2,0,90.47
4,KL Rahul,Out,5,11,0,0,45.45
5,Hardik Pandya,Not Out,92,76,7,1,121.05
6,Ravindra Jadeja,Not Out,66,50,5,3,132.00
0,Rohit Sharma,Out,28,42,4,0,66.66
1,Shikhar Dhawan,Out,98,106,11,2,92.45
2,Virat Kohli (c),Out,56,60,6,0,93.33
3,Shreyas Iyer,Out,6,9,1,0,66.66
4,KL Rahul,Not Out,62,43,4,4,144.18
5,Hardik Pandya,Out,1,9,0,0,11.11
6,Krunal Pandya,Not Out,58,31,7,2,187.09
0,Rohit Sharma,Out,25,25,5,0,100.00
1,Shikhar Dhawan,Out,4,17,0,0,23.52
2,Virat Kohli (c),Out,66,79,3,1,83.54
3,KL Rahul,Out,108,114,7,2,94.73
4,Rishabh Pant,Out,77,40,3,7,192.50
5,Hardik Pandya,Out,35,16,1,4,218.75
6,Krunal Pandya,Not Out,12,9,1,0,133.33
7,Shardul Thakur,Not Out,0,0,0,0,-
0,Rohit Sharma,Out,37,37,6,0,100.00
1,Shikhar Dhawan,Out,67,56,10,0,119.64
2,Virat Kohli (c),Out,7,10,1,0,70.00
3,Rishabh Pant,Out,78,62,5,4,125.80
4,KL Rahul,Out,7,18,0,0,38.88
5,Hardik Pandya,Out,64,44,5,4,145.45
6,Krunal Pandya,Out,25,34,0,0,73.52
7,Shardul Thakur,Out,30,21,1,3,142.85
8,Bhuvneshwar Kumar,Out,3,5,0,0,60.00
9,Prasidh Krishna,Out,0,3,0,0,0.00
10,T Natarajan,Not Out,0,0,0,0,-
0,Prithvi Shaw,Out,43,24,9,0,179.16
1,Shikhar Dhawan (c),Not Out,86,95,6,1,90.52
2,Ishan Kishan †,Out,59,42,8,2,140.47
3,Manish Pandey,Out,26,40,1,1,65.00
4,Suryakumar Yadav,Not Out,31,20,5,0,155.00
0,Prithvi Shaw,Out,13,11,3,0,118.18
1,Shikhar Dhawan (c),Out,29,38,6,0,76.31
2,Ishan Kishan,Out,1,4,0,0,25.00
3,Manish Pandey,Out,37,31,3,0,119.35
4,Suryakumar Yadav,Out,53,44,6,0,120.45
5,Hardik Pandya,Out,0,3,0,0,0.00
6,Krunal Pandya,Out,35,54,3,0,64.81
7,Deepak Chahar,Not Out,69,82,7,1,84.14
8,Bhuvneshwar Kumar,Not Out,19,28,2,0,67.85
0,Prithvi Shaw,Out,49,49,8,0,100.00
1,Shikhar Dhawan (c),Out,13,11,3,0,118.18
2,Sanju Samson,Out,46,46,5,1,100.00
3,Manish Pandey,Out,11,19,0,0,57.89
4,Suryakumar Yadav,Out,40,37,7,0,108.10
5,Hardik Pandya,Out,19,17,3,0,111.76
6,Nitish Rana,Out,7,14,0,0,50.00
7,Krishnappa Gowtham,Out,2,3,0,0,66.66
8,Rahul Chahar,Out,13,25,0,0,52.00
9,Navdeep Saini,Out,15,37,0,0,40.54
10,Chetan Sakariya,Not Out,0,1,0,0,0.00
0,KL Rahul (c),Out,12,17,0,0,70.58
1,Shikhar Dhawan,Out,79,84,10,0,94.04
2,Virat Kohli,Out,51,63,3,0,80.95
3,Rishabh Pant,Out,16,22,1,0,72.72
4,Shreyas Iyer,Out,17,17,1,0,100.00
5,Venkatesh Iyer,Out,2,7,0,0,28.57
6,Ravichandran Ashwin,Out,7,13,0,0,53.84
7,Shardul Thakur,Not Out,50,43,5,1,116.27
8,Bhuvneshwar Kumar,Out,4,11,0,0,36.36
9,Jasprit Bumrah,Not Out,14,23,1,0,60.86
0,KL Rahul (c),Out,55,79,4,0,69.62
1,Shikhar Dhawan,Out,29,38,5,0,76.31
2,Virat Kohli,Out,0,5,0,0,0.00
3,Rishabh Pant,Out,85,71,10,2,119.71
4,Shreyas Iyer,Out,11,14,0,0,78.57
5,Venkatesh Iyer,Out,22,33,0,1,66.66
6,Shardul Thakur,Not Out,40,38,3,1,105.26
7,Ravichandran Ashwin,Not Out,25,24,1,1,104.16
0,KL Rahul (c),Out,9,10,2,0,90.00
1,Shikhar Dhawan,Out,61,73,5,1,83.56
2,Virat Kohli,Out,65,84,5,0,77.38
3,Rishabh Pant,Out,0,1,0,0,0.00
4,Shreyas Iyer,Out,26,34,2,0,76.47
5,Suryakumar Yadav,Out,39,32,4,1,121.87
6,Deepak Chahar,Out,54,34,5,2,158.82
7,Jayant Yadav,Out,2,6,0,0,33.33
8,Jasprit Bumrah,Out,12,15,2,0,80.00
9,Yuzvendra Chahal,Out,2,6,0,0,33.33
10,Prasidh Krishna,Not Out,2,3,0,0,66.66
0,Rohit Sharma (c),Out,60,51,10,1,117.64
1,Ishan Kishan,Out,28,36,2,1,77.77
2,Virat Kohli,Out,8,4,2,0,200.00
3,Rishabh Pant,Out,11,9,2,0,122.22
4,Suryakumar Yadav,Not Out,34,36,5,0,94.44
5,Deepak Hooda,Not Out,26,32,2,0,81.25
0,Rohit Sharma (c),Out,5,8,0,0,62.50
1,Rishabh Pant,Out,18,34,3,0,52.94
2,Virat Kohli,Out,18,30,3,0,60.00
3,KL Rahul,Out,49,48,4,2,102.08
4,Suryakumar Yadav,Out,64,83,5,0,77.10
5,Washington Sundar,Out,24,41,1,0,58.53
6,Deepak Hooda,Out,29,25,2,0,116.00
7,Shardul Thakur,Out,8,15,1,0,53.33
8,Mohammed Siraj,Out,3,5,0,0,60.00
9,Yuzvendra Chahal,Not Out,11,10,1,0,110.00
10,Prasidh Krishna,Not Out,0,3,0,0,0.00
0,Rohit Sharma (c),Out,13,15,3,0,86.66
1,Shikhar Dhawan,Out,10,26,0,1,38.46
2,Virat Kohli,Out,0,2,0,0,0.00
3,Shreyas Iyer,Out,80,111,9,0,72.07
4,Rishabh Pant,Out,56,54,6,1,103.70
5,Suryakumar Yadav,Out,6,7,1,0,85.71
6,Washington Sundar,Out,33,34,2,1,97.05
7,Deepak Chahar,Out,38,38,4,2,100.00
8,Kuldeep Yadav,Out,5,8,0,0,62.50
9,Mohammed Siraj,Out,4,6,1,0,66.66
10,Prasidh Krishna,Not Out,0,0,0,0,-
0,Rohit Sharma (c),Not Out,76,58,7,5,131.03
1,Shikhar Dhawan,Not Out,31,54,4,0,57.40
0,Rohit Sharma (c),Out,0,10,0,0,0.00
1,Shikhar Dhawan,Out,9,26,1,0,34.61
2,Virat Kohli,Out,16,25,3,0,64.00
3,Rishabh Pant,Out,0,5,0,0,0.00
4,Suryakumar Yadav,Out,27,29,1,1,93.10
5,Hardik Pandya,Out,29,44,2,0,65.90
6,Ravindra Jadeja,Out,29,44,1,1,65.90
7,Mohammed Shami,Out,23,28,2,1,82.14
8,Jasprit Bumrah,Not Out,2,6,0,0,33.33
9,Yuzvendra Chahal,Out,3,13,0,0,23.07
10,Prasidh Krishna,Out,0,3,0,0,0.00
0,Rohit Sharma (c),Out,17,17,4,0,100.00
1,Shikhar Dhawan,Out,1,3,0,0,33.33
2,Virat Kohli,Out,17,22,3,0,77.27
3,Rishabh Pant,Not Out,125,113,16,2,110.61
4,Suryakumar Yadav,Out,16,28,1,0,57.14
5,Hardik Pandya,Out,71,55,10,0,129.09
6,Ravindra Jadeja,Not Out,7,15,0,0,46.66
0,Shikhar Dhawan (c),Out,97,99,10,3,97.97
1,Shubman Gill,Out,64,53,6,2,120.75
2,Shreyas Iyer,Out,54,57,5,2,94.73
3,Suryakumar Yadav,Out,13,14,2,0,92.85
4,Sanju Samson,Out,12,18,0,1,66.66
