Abc,Name,Out/NotOut,Runs,Balls,4s,6s,SR
4,Ravindra Jadeja,Not Out,16,21,1,0,76.19
5,Shardul Thakur,Out,1,4,0,0,25.00
6,Rohit Sharma (c),Not Out,12,19,2,0,63.15
0,Ishan Kishan,Out,55,55,6,1,100.00
1,Shubman Gill,Out,34,49,5,0,69.38
2,Sanju Samson,Out,9,19,0,0,47.36
3,Axar Patel,Out,1,8,0,0,12.50
4,Hardik Pandya (c),Out,7,14,0,0,50.00
5,Suryakumar Yadav,Out,24,25,3,0,96.00
6,Ravindra Jadeja,Out,10,21,0,0,47.61
7,Shardul Thakur,Out,16,22,2,0,72.72
8,Kuldeep Yadav,Not Out,8,23,1,0,34.78
9,Umran Malik,Out,0,2,0,0,0.00
10,Mukesh Kumar,Out,6,7,1,0,85.71
0,Ishan Kishan,Out,77,64,8,3,120.31
1,Shubman Gill,Out,85,92,11,0,92.39
2,Ruturaj Gaikwad,Out,8,14,1,0,57.14
3,Sanju Samson,Out,51,41,2,4,124.39
4,Hardik Pandya (c),Not Out,70,52,4,5,134.61
5,Suryakumar Yadav,Out,35,30,2,2,116.66
6,Ravindra Jadeja,Not Out,8,7,0,0,114.28
