Abc,Match,Name,Out/NotOut,Runs,Balls,4s,6s,SR,MatchId
7,india vs new zealand 1st,Ravindra Jadeja,Out,77,59,4,4,130.50,ODI no. 4190
8,india vs new zealand 1st,Bhuvneshwar Kumar,Out,0,1,0,0,0.00,ODI no. 4190
9,india vs new zealand 1st,Yuzvendra Chahal,Out,5,5,1,0,100.00,ODI no. 4190
10,india vs new zealand 1st,Jasprit Bumrah,Not Out,0,0,0,0,-,ODI no. 4190
0,west indies vs india,Shikhar Dhawan,Out,2,3,0,0,66.66,ODI no. 4197
1,west indies vs india,Rohit Sharma,Out,18,34,2,0,52.94,ODI no. 4197
2,west indies vs india,Virat Kohli (c),Out,120,125,14,1,96.00,ODI no. 4197
3,west indies vs india,Rishabh Pant,Out,20,35,2,0,57.14,ODI no. 4197
4,west indies vs india,Shreyas Iyer,Out,71,68,5,1,104.41,ODI no. 4197
5,west indies vs india,Kedar Jadhav,Out,16,14,2,0,114.28,ODI no. 4197
6,west indies vs india,Ravindra Jadeja,Not Out,16,16,1,0,100.00,ODI no. 4197
7,west indies vs india,Bhuvneshwar Kumar,Out,1,2,0,0,50.00,ODI no. 4197
8,west indies vs india,Mohammed Shami,Not Out,3,5,0,0,60.00,ODI no. 4197
0,west indies vs india,Rohit Sharma,Out,10,6,2,0,166.66,ODI no. 4199
1,west indies vs india,Shikhar Dhawan,Out,36,36,5,0,100.00,ODI no. 4199
2,west indies vs india,Virat Kohli (c),Not Out,114,99,14,0,115.15,ODI no. 4199
3,west indies vs india,Rishabh Pant,Out,0,1,0,0,0.00,ODI no. 4199
4,west indies vs india,Shreyas Iyer,Out,65,41,3,5,158.53,ODI no. 4199
5,west indies vs india,Kedar Jadhav,Not Out,19,12,1,1,158.33,ODI no. 4199
0,india vs west indies,Rohit Sharma,Out,36,56,6,0,64.28,ODI no. 4221
1,india vs west indies,KL Rahul,Out,6,15,1,0,40.00,ODI no. 4221
2,india vs west indies,Virat Kohli (c),Out,4,4,1,0,100.00,ODI no. 4221
3,india vs west indies,Shreyas Iyer,Out,70,88,5,1,79.54,ODI no. 4221
4,india vs west indies,Rishabh Pant,Out,71,69,7,1,102.89,ODI no. 4221
5,india vs west indies,Kedar Jadhav,Out,40,35,3,1,114.28,ODI no. 4221
6,india vs west indies,Ravindra Jadeja,Out,21,21,2,0,100.00,ODI no. 4221
7,india vs west indies,Shivam Dube,Out,9,6,1,0,150.00,ODI no. 4221
8,india vs west indies,Deepak Chahar,Not Out,6,8,0,0,75.00,ODI no. 4221
9,india vs west indies,Mohammed Shami,Not Out,0,1,0,0,0.00,ODI no. 4221
0,india vs west indies,Rohit Sharma,Out,159,138,17,5,115.21,ODI no. 4222
1,india vs west indies,KL Rahul,Out,102,104,8,3,98.07,ODI no. 4222
2,india vs west indies,Virat Kohli (c),Out,0,1,0,0,0.00,ODI no. 4222
3,india vs west indies,Shreyas Iyer,Out,53,32,3,4,165.62,ODI no. 4222
4,india vs west indies,Rishabh Pant,Out,39,16,3,4,243.75,ODI no. 4222
5,india vs west indies,Kedar Jadhav,Not Out,16,10,3,0,160.00,ODI no. 4222
6,india vs west indies,Ravindra Jadeja,Not Out,0,0,0,0,-,ODI no. 4222
0,india vs west indies,Rohit Sharma,Out,63,63,8,1,100.00,ODI no. 4223
1,india vs west indies,KL Rahul,Out,77,89,8,1,86.51,ODI no. 4223
2,india vs west indies,Virat Kohli (c),Out,85,81,9,0,104.93,ODI no. 4223
3,india vs west indies,Shreyas Iyer,Out,7,7,1,0,100.00,ODI no. 4223
4,india vs west indies,Rishabh Pant,Out,7,6,1,0,116.66,ODI no. 4223
5,india vs west indies,Kedar Jadhav,Out,9,10,1,0,90.00,ODI no. 4223
6,india vs west indies,Ravindra Jadeja,Not Out,39,31,4,0,125.80,ODI no. 4223
7,india vs west indies,Shardul Thakur,Not Out,17,6,2,1,283.33,ODI no. 4223
0,india vs australia,Rohit Sharma,Out,10,15,2,0,66.66,ODI no. 4231
1,india vs australia,Shikhar Dhawan,Out,74,91,9,1,81.31,ODI no. 4231
2,india vs australia,KL Rahul,Out,47,61,4,0,77.04,ODI no. 4231
3,india vs australia,Virat Kohli (c),Out,16,14,0,1,114.28,ODI no. 4231
4,india vs australia,Shreyas Iyer,Out,4,9,0,0,44.44,ODI no. 4231
5,india vs australia,Rishabh Pant,Out,28,33,2,1,84.84,ODI no. 4231
6,india vs australia,Ravindra Jadeja,Out,25,32,2,1,78.12,ODI no. 4231
7,india vs australia,Shardul Thakur,Out,13,10,2,0,130.00,ODI no. 4231
8,india vs australia,Mohammed Shami,Out,10,15,1,0,66.66,ODI no. 4231
9,india vs australia,Kuldeep Yadav,Out,17,15,2,0,113.33,ODI no. 4231
10,india vs australia,Jasprit Bumrah,Not Out,0,0,0,0,-,ODI no. 4231
0,india vs australia,Rohit Sharma,Out,42,44,6,0,95.45,ODI no. 4232
1,india vs australia,Shikhar Dhawan,Out,96,90,13,1,106.66,ODI no. 4232
2,india vs australia,Virat Kohli (c),Out,78,76,6,0,102.63,ODI no. 4232
3,india vs australia,Shreyas Iyer,Out,7,17,1,0,41.17,ODI no. 4232
4,india vs australia,KL Rahul,Out,80,52,6,3,153.84,ODI no. 4232
5,india vs australia,Manish Pandey,Out,2,4,0,0,50.00,ODI no. 4232
6,india vs australia,Ravindra Jadeja,Not Out,20,16,1,0,125.00,ODI no. 4232
7,india vs australia,Mohammed Shami,Not Out,1,1,0,0,100.00,ODI no. 4232
0,india vs australia,Rohit Sharma,Out,119,128,8,6,92.96,ODI no. 4233
1,india vs australia,KL Rahul,Out,19,27,2,0,70.37,ODI no. 4233
2,india vs australia,Virat Kohli (c),Out,89,91,8,0,97.80,ODI no. 4233
3,india vs australia,Shreyas Iyer,Not Out,44,35,6,1,125.71,ODI no. 4233
4,india vs australia,Manish Pandey,Not Out,8,4,2,0,200.00,ODI no. 4233
0,new zealand vs india,Prithvi Shaw,Out,20,21,3,0,95.23,ODI no. 4235
1,new zealand vs india,Mayank Agarwal,Out,32,31,6,0,103.22,ODI no. 4235
2,new zealand vs india,Virat Kohli (c),Out,51,63,6,0,80.95,ODI no. 4235
3,new zealand vs india,Shreyas Iyer,Out,103,107,11,1,96.26,ODI no. 4235
4,new zealand vs india,KL Rahul,Not Out,88,64,3,6,137.50,ODI no. 4235
5,new zealand vs india,Kedar Jadhav,Not Out,26,15,3,1,173.33,ODI no. 4235
0,new zealand vs india,Prithvi Shaw,Out,24,19,6,0,126.31,ODI no. 4239
1,new zealand vs india,Mayank Agarwal,Out,3,5,0,0,60.00,ODI no. 4239
2,new zealand vs india,Virat Kohli (c),Out,15,25,1,0,60.00,ODI no. 4239
3,new zealand vs india,Shreyas Iyer,Out,52,57,7,1,91.22,ODI no. 4239
4,new zealand vs india,KL Rahul,Out,4,8,0,0,50.00,ODI no. 4239
5,new zealand vs india,Kedar Jadhav,Out,9,27,1,0,33.33,ODI no. 4239
6,new zealand vs india,Ravindra Jadeja,Out,55,73,2,1,75.34,ODI no. 4239
7,new zealand vs india,Shardul Thakur,Out,18,15,3,0,120.00,ODI no. 4239
8,new zealand vs india,Navdeep Saini,Out,45,49,5,2,91.83,ODI no. 4239
9,new zealand vs india,Yuzvendra Chahal,Out,10,12,1,0,83.33,ODI no. 4239
10,new zealand vs india,Jasprit Bumrah,Not Out,0,1,0,0,0.00,ODI no. 4239
0,new zealand vs india,Prithvi Shaw,Out,40,42,3,2,95.23,ODI no. 4243
1,new zealand vs india,Mayank Agarwal,Out,1,3,0,0,33.33,ODI no. 4243
2,new zealand vs india,Virat Kohli (c),Out,9,12,0,1,75.00,ODI no. 4243
3,new zealand vs india,Shreyas Iyer,Out,62,63,9,0,98.41,ODI no. 4243
4,new zealand vs india,KL Rahul,Out,112,113,9,2,99.11,ODI no. 4243
5,new zealand vs india,Manish Pandey,Out,42,48,2,0,87.50,ODI no. 4243
6,new zealand vs india,Ravindra Jadeja,Not Out,8,7,1,0,114.28,ODI no. 4243
7,new zealand vs india,Shardul Thakur,Out,7,6,1,0,116.66,ODI no. 4243
8,new zealand vs india,Navdeep Saini,Not Out,8,6,2,0,133.33,ODI no. 4243
0,australia vs india,Mayank Agarwal,Out,22,18,2,1,122.22,ODI no. 4265
1,australia vs india,Shikhar Dhawan,Out,74,86,10,0,86.04,ODI no. 4265
2,australia vs india,Virat Kohli (c),Out,21,21,2,1,100.00,ODI no. 4265
3,australia vs india,Shreyas Iyer,Out,2,2,0,0,100.00,ODI no. 4265
4,australia vs india,KL Rahul,Out,12,15,1,0,80.00,ODI no. 4265
5,australia vs india,Hardik Pandya,Out,90,76,7,4,118.42,ODI no. 4265
6,australia vs india,Ravindra Jadeja,Out,25,37,0,1,67.56,ODI no. 4265
7,australia vs india,Navdeep Saini,Not Out,29,35,1,1,82.85,ODI no. 4265
8,australia vs india,Mohammed Shami,Out,13,10,1,1,130.00,ODI no. 4265
9,australia vs india,Jasprit Bumrah,Not Out,0,3,0,0,0.00,ODI no. 4265
0,australia vs india,Mayank Agarwal,Out,28,26,4,0,107.69,ODI no. 4266
1,australia vs india,Shikhar Dhawan,Out,30,23,5,0,130.43,ODI no. 4266
2,australia vs india,Virat Kohli (c),Out,89,87,7,2,102.29,ODI no. 4266
3,australia vs india,Shreyas Iyer,Out,38,36,5,0,105.55,ODI no. 4266
4,australia vs india,KL Rahul,Out,76,66,4,5,115.15,ODI no. 4266
5,australia vs india,Hardik Pandya,Out,28,31,1,1,90.32,ODI no. 4266
6,australia vs india,Ravindra Jadeja,Out,24,11,1,2,218.18,ODI no. 4266
7,australia vs india,Navdeep Saini,Not Out,10,10,1,0,100.00,ODI no. 4266
8,australia vs india,Mohammed Shami,Out,1,4,0,0,25.00,ODI no. 4266
9,australia vs india,Jasprit Bumrah,Out,0,2,0,0,0.00,ODI no. 4266
10,australia vs india,Yuzvendra Chahal,Not Out,4,6,0,0,66.66,ODI no. 4266
0,australia vs india,Shikhar Dhawan,Out,16,27,2,0,59.25,ODI no. 4267
