Abc,Match,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,MatchId
0,new zealand vs india,Arshdeep Singh,8.1,0,68,0,8.32,22,6,3,1,1,ODI no. 4483
1,new zealand vs india,Shardul Thakur,9,1,63,1,7,31,10,1,3,0,ODI no. 4483
2,new zealand vs india,Washington Sundar,10,0,42,0,4.2,31,2,1,1,0,ODI no. 4483
3,new zealand vs india,Umran Malik,10,0,66,2,6.6,30,6,2,1,1,ODI no. 4483
4,new zealand vs india,Yuzvendra Chahal,10,0,67,0,6.7,25,7,1,2,0,ODI no. 4483
0,new zealand vs india,Deepak Chahar,5,0,30,0,6,19,6,0,0,0,ODI no. 4489
1,new zealand vs india,Arshdeep Singh,5,1,21,0,4.2,23,4,0,1,0,ODI no. 4489
2,new zealand vs india,Umran Malik,5,0,31,1,6.2,18,4,0,2,0,ODI no. 4489
3,new zealand vs india,Washington Sundar,3,0,16,0,5.33,7,0,1,0,0,ODI no. 4489
0,bangladesh vs india,Deepak Chahar,8,1,32,1,4,35,5,0,0,2,ODI no. 4493
1,bangladesh vs india,Mohammed Siraj,10,1,32,3,3.2,46,4,0,2,0,ODI no. 4493
2,bangladesh vs india,Kuldeep Sen,5,0,37,2,7.4,16,1,3,3,0,ODI no. 4493
3,bangladesh vs india,Shahbaz Ahmed,9,0,39,0,4.33,27,3,0,0,0,ODI no. 4493
4,bangladesh vs india,Washington Sundar,5,0,17,2,3.4,17,0,0,0,0,ODI no. 4493
5,bangladesh vs india,Shardul Thakur,9,1,21,1,2.33,39,1,0,1,0,ODI no. 4493
0,bangladesh vs india,Deepak Chahar,3,0,12,0,4,12,1,0,0,0,ODI no. 4496
1,bangladesh vs india,Mohammed Siraj,10,0,73,2,7.3,35,10,1,4,1,ODI no. 4496
2,bangladesh vs india,Shardul Thakur,10,1,47,0,4.7,35,2,2,2,0,ODI no. 4496
3,bangladesh vs india,Umran Malik,10,2,58,2,5.8,35,9,0,1,1,ODI no. 4496
4,bangladesh vs india,Washington Sundar,10,0,37,3,3.7,36,2,1,0,0,ODI no. 4496
5,bangladesh vs india,Axar Patel,7,0,40,0,5.71,17,2,1,0,0,ODI no. 4496
0,bangladesh vs india,Mohammed Siraj,5,0,27,1,5.4,16,2,1,0,0,ODI no. 4499
1,bangladesh vs india,Shardul Thakur,5,0,30,3,6,22,3,2,2,0,ODI no. 4499
2,bangladesh vs india,Axar Patel,5,0,22,2,4.4,15,2,0,0,0,ODI no. 4499
3,bangladesh vs india,Umran Malik,8,0,43,2,5.37,24,5,0,0,1,ODI no. 4499
4,bangladesh vs india,Kuldeep Yadav,10,1,53,1,5.3,31,2,3,1,0,ODI no. 4499
5,bangladesh vs india,Washington Sundar,1,0,2,1,2,4,0,0,0,0,ODI no. 4499
0,india vs sri lanka,Mohammed Shami,9,0,67,1,7.44,29,9,1,2,0,ODI no. 4501
1,india vs sri lanka,Mohammed Siraj,7,1,30,2,4.28,29,3,1,0,0,ODI no. 4501
2,india vs sri lanka,Hardik Pandya,6,0,33,1,5.5,18,4,0,2,0,ODI no. 4501
3,india vs sri lanka,Umran Malik,8,0,57,3,7.12,27,10,0,4,0,ODI no. 4501
4,india vs sri lanka,Yuzvendra Chahal,10,0,58,1,5.8,33,6,2,0,0,ODI no. 4501
5,india vs sri lanka,Axar Patel,10,0,58,0,5.8,32,7,1,0,0,ODI no. 4501
0,india vs sri lanka,Mohammed Shami,7,0,43,0,6.14,23,7,0,1,0,ODI no. 4503
1,india vs sri lanka,Mohammed Siraj,5.4,0,30,3,5.29,24,4,1,2,0,ODI no. 4503
2,india vs sri lanka,Hardik Pandya,5,0,26,0,5.2,14,2,0,2,0,ODI no. 4503
3,india vs sri lanka,Umran Malik,7,0,48,2,6.85,21,6,1,0,1,ODI no. 4503
4,india vs sri lanka,Kuldeep Yadav,10,0,51,3,5.1,33,6,1,0,0,ODI no. 4503
5,india vs sri lanka,Axar Patel,5,0,16,1,3.2,18,1,0,0,0,ODI no. 4503
0,india vs sri lanka,Mohammed Shami,6,2,20,2,3.33,31,3,0,2,0,ODI no. 4505
1,india vs sri lanka,Mohammed Siraj,10,1,32,4,3.2,46,5,0,1,0,ODI no. 4505
2,india vs sri lanka,Kuldeep Yadav,5,1,16,2,3.2,23,3,0,0,0,ODI no. 4505
3,india vs sri lanka,Shreyas Iyer,1,0,2,0,2,4,0,0,0,0,ODI no. 4505
0,india vs new zealand,Mohammed Shami,10,1,69,1,6.9,30,8,3,0,0,ODI no. 4507
1,india vs new zealand,Mohammed Siraj,10,2,46,4,4.6,39,7,0,4,0,ODI no. 4507
2,india vs new zealand,Hardik Pandya,7,0,70,1,10,14,7,3,3,0,ODI no. 4507
3,india vs new zealand,Kuldeep Yadav,8,1,43,2,5.37,29,4,2,0,0,ODI no. 4507
4,india vs new zealand,Shardul Thakur,7.2,0,54,2,7.36,27,6,2,7,0,ODI no. 4507
5,india vs new zealand,Washington Sundar,7,0,50,0,7.14,18,3,3,0,0,ODI no. 4507
0,india vs new zealand,Mohammed Shami,6,1,18,3,3,30,3,0,3,0,ODI no. 4509
1,india vs new zealand,Mohammed Siraj,6,1,10,1,1.66,30,1,0,0,0,ODI no. 4509
2,india vs new zealand,Shardul Thakur,6,1,26,1,4.33,26,5,0,1,0,ODI no. 4509
3,india vs new zealand,Hardik Pandya,6,3,16,2,2.66,29,2,0,1,0,ODI no. 4509
4,india vs new zealand,Kuldeep Yadav,7.3,0,29,1,3.86,22,2,0,0,0,ODI no. 4509
5,india vs new zealand,Washington Sundar,3,1,7,2,2.33,13,0,0,0,0,ODI no. 4509
0,india vs new zealand,Hardik Pandya,6,0,37,1,6.16,23,3,2,3,0,ODI no. 4511
1,india vs new zealand,Washington Sundar,6,0,49,0,8.16,15,4,3,1,0,ODI no. 4511
2,india vs new zealand,Shardul Thakur,6,0,45,3,7.5,15,4,2,1,0,ODI no. 4511
3,india vs new zealand,Umran Malik,7,0,52,1,7.42,18,5,2,2,0,ODI no. 4511
4,india vs new zealand,Kuldeep Yadav,9,0,62,3,6.88,21,4,2,2,0,ODI no. 4511
5,india vs new zealand,Yuzvendra Chahal,7.2,0,43,2,5.86,22,3,2,0,0,ODI no. 4511
0,india vs australia,Mohammed Shami,6,2,17,3,2.83,30,1,1,2,0,ODI no. 4538
1,india vs australia,Mohammed Siraj,5.4,1,29,3,5.11,26,7,0,0,0,ODI no. 4538
2,india vs australia,Hardik Pandya,5,0,29,1,5.8,19,2,2,1,0,ODI no. 4538
3,india vs australia,Shardul Thakur,2,0,12,0,6,8,1,1,0,0,ODI no. 4538
4,india vs australia,Ravindra Jadeja,9,0,46,2,5.11,27,4,1,0,0,ODI no. 4538
5,india vs australia,Kuldeep Yadav,8,1,48,1,6,24,5,1,0,0,ODI no. 4538
0,india vs australia,Mohammed Shami,3,0,29,0,9.66,11,3,2,3,0,ODI no. 4541
1,india vs australia,Mohammed Siraj,3,0,37,0,12.33,6,8,0,1,0,ODI no. 4541
2,india vs australia,Axar Patel,3,0,25,0,8.33,7,4,0,0,0,ODI no. 4541
3,india vs australia,Hardik Pandya,1,0,18,0,18,3,0,3,0,0,ODI no. 4541
4,india vs australia,Kuldeep Yadav,1,0,12,0,12,2,1,1,0,0,ODI no. 4541
0,india vs australia,Mohammed Shami,6,0,37,0,6.16,23,4,2,0,0,ODI no. 4545
1,india vs australia,Mohammed Siraj,7,1,37,2,5.28,28,6,1,0,0,ODI no. 4545
2,india vs australia,Axar Patel,8,0,57,2,7.12,24,3,4,0,1,ODI no. 4545
3,india vs australia,Hardik Pandya,8,0,44,3,5.5,24,4,0,1,0,ODI no. 4545
4,india vs australia,Ravindra Jadeja,10,0,34,0,3.4,31,1,0,1,0,ODI no. 4545
5,india vs australia,Kuldeep Yadav,10,1,56,3,5.6,30,4,1,1,0,ODI no. 4545
0,west indies vs india,Hardik Pandya,3,0,17,1,5.66,13,2,1,0,0,ODI no. 4622
1,west indies vs india,Mukesh Kumar,5,1,22,1,4.4,21,3,0,2,0,ODI no. 4622
2,west indies vs india,Shardul Thakur,3,1,14,1,4.66,11,2,0,1,0,ODI no. 4622
3,west indies vs india,Ravindra Jadeja,6,0,37,3,6.16,18,2,1,2,2,ODI no. 4622
4,west indies vs india,Umran Malik,3,0,17,0,5.66,10,3,0,0,0,ODI no. 4622
5,west indies vs india,Kuldeep Yadav,3,2,6,4,2,15,0,0,0,0,ODI no. 4622
0,west indies vs india,Hardik Pandya,6.4,0,38,0,5.7,22,4,1,1,0,ODI no. 4623
1,west indies vs india,Mukesh Kumar,3,0,17,0,5.66,12,3,0,0,0,ODI no. 4623
2,west indies vs india,Umran Malik,3,0,27,0,9,9,3,1,1,0,ODI no. 4623
3,west indies vs india,Shardul Thakur,8,0,42,3,5.25,26,2,2,2,0,ODI no. 4623
4,west indies vs india,Kuldeep Yadav,8,0,30,1,3.75,25,1,0,1,0,ODI no. 4623
5,west indies vs india,Ravindra Jadeja,6,0,24,0,4,17,0,0,0,0,ODI no. 4623
6,west indies vs india,Axar Patel,2,1,4,0,2,8,0,0,0,0,ODI no. 4623
0,west indies vs india,Mukesh Kumar,7,1,30,3,4.28,33,2,1,4,2,ODI no. 4624
1,west indies vs india,Hardik Pandya,4,1,13,0,3.25,18,2,0,0,0,ODI no. 4624
2,west indies vs india,Shardul Thakur,6.3,0,37,4,5.69,23,5,1,0,0,ODI no. 4624
3,west indies vs india,Jaydev Unadkat,5,0,16,1,3.2,20,2,0,0,0,ODI no. 4624
4,west indies vs india,Kuldeep Yadav,8,3,25,2,3.12,39,3,1,0,0,ODI no. 4624
5,west indies vs india,Ravindra Jadeja,5,1,29,0,5.8,21,3,2,0,0,ODI no. 4624
