Abc,Match,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,MatchId
4,west indies vs india,Kedar Jadhav,5,0,25,0,5,16,3,0,1,0,ODI no. 4197
5,west indies vs india,Ravindra Jadeja,4,0,15,1,3.75,13,1,0,0,1,ODI no. 4197
0,west indies vs india,Bhuvneshwar Kumar,5,1,48,0,9.6,15,5,3,3,0,ODI no. 4199
1,west indies vs india,Mohammed Shami,7,1,50,2,7.14,20,4,2,1,1,ODI no. 4199
2,west indies vs india,Khaleel Ahmed,7,0,68,3,9.71,19,7,4,0,0,ODI no. 4199
3,west indies vs india,Yuzvendra Chahal,7,0,32,1,4.57,21,1,1,1,0,ODI no. 4199
4,west indies vs india,Kedar Jadhav,4,0,13,0,3.25,14,1,0,0,0,ODI no. 4199
5,west indies vs india,Ravindra Jadeja,5,0,26,1,5.2,15,0,2,1,0,ODI no. 4199
0,india vs west indies,Deepak Chahar,10,1,48,1,4.8,32,4,1,0,0,ODI no. 4221
1,india vs west indies,Mohammed Shami,9,1,57,1,6.33,27,8,1,0,0,ODI no. 4221
2,india vs west indies,Kuldeep Yadav,10,0,45,0,4.5,31,0,1,3,0,ODI no. 4221
3,india vs west indies,Shivam Dube,7.5,0,68,0,8.68,13,9,1,0,0,ODI no. 4221
4,india vs west indies,Kedar Jadhav,1,0,11,0,11,1,2,0,0,0,ODI no. 4221
5,india vs west indies,Ravindra Jadeja,10,0,58,0,5.8,30,1,4,0,1,ODI no. 4221
0,india vs west indies,Deepak Chahar,7,1,44,0,6.28,23,6,1,2,0,ODI no. 4222
1,india vs west indies,Shardul Thakur,8,0,55,1,6.87,24,7,1,2,0,ODI no. 4222
2,india vs west indies,Mohammed Shami,7.3,0,39,3,5.2,27,5,1,1,0,ODI no. 4222
3,india vs west indies,Ravindra Jadeja,10,0,74,2,7.4,25,4,5,1,0,ODI no. 4222
4,india vs west indies,Kuldeep Yadav,10,0,52,3,5.2,34,2,4,0,0,ODI no. 4222
5,india vs west indies,Shreyas Iyer,1,0,13,0,13,3,1,1,2,0,ODI no. 4222
