,Match,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,MatchId
259,IND vs SA,Kuldeep Yadav,9.0,0,49,1,5.44,24,2,2,0,0,ODI no. 4471
260,IND vs SA,Shardul Thakur,5.0,0,36,1,7.2,11,5,0,0,0,ODI no. 4471
261,IND vs SA,Washington Sundar,4.0,0,15,2,3.75,17,2,0,2,0,ODI no. 4472
262,IND vs SA,Mohammed Siraj,5.0,0,17,2,3.4,23,3,0,0,0,ODI no. 4472
263,IND vs SA,Avesh Khan,5.0,1,8,0,1.6,24,0,0,2,0,ODI no. 4472
264,IND vs SA,Shahbaz Ahmed,7.0,0,32,2,4.57,23,4,0,0,0,ODI no. 4472
265,IND vs SA,Shardul Thakur,2.0,0,8,0,4.0,7,1,0,0,0,ODI no. 4472
266,IND vs SA,Kuldeep Yadav,4.1,1,18,4,4.32,15,1,1,0,0,ODI no. 4472
267,NZ vs IND,Arshdeep Singh,8.1,0,68,0,8.32,22,6,3,1,1,ODI no. 4483
268,NZ vs IND,Shardul Thakur,9.0,1,63,1,7.0,31,10,1,3,0,ODI no. 4483
269,NZ vs IND,Washington Sundar,10.0,0,42,0,4.2,31,2,1,1,0,ODI no. 4483
270,NZ vs IND,Umran Malik,10.0,0,66,2,6.6,30,6,2,1,1,ODI no. 4483
271,NZ vs IND,Yuzvendra Chahal,10.0,0,67,0,6.7,25,7,1,2,0,ODI no. 4483
272,NZ vs IND,Deepak Chahar,5.0,0,30,0,6.0,19,6,0,0,0,ODI no. 4489
273,NZ vs IND,Arshdeep Singh,5.0,1,21,0,4.2,23,4,0,1,0,ODI no. 4489
274,NZ vs IND,Umran Malik,5.0,0,31,1,6.2,18,4,0,2,0,ODI no. 4489
275,NZ vs IND,Washington Sundar,3.0,0,16,0,5.33,7,0,1,0,0,ODI no. 4489
276,BAN vs IND,Deepak Chahar,8.0,1,32,1,4.0,35,5,0,0,2,ODI no. 4493
277,BAN vs IND,Mohammed Siraj,10.0,1,32,3,3.2,46,4,0,2,0,ODI no. 4493
278,BAN vs IND,Kuldeep Sen,5.0,0,37,2,7.4,16,1,3,3,0,ODI no. 4493
279,BAN vs IND,Shahbaz Ahmed,9.0,0,39,0,4.33,27,3,0,0,0,ODI no. 4493
280,BAN vs IND,Washington Sundar,5.0,0,17,2,3.4,17,0,0,0,0,ODI no. 4493
281,BAN vs IND,Shardul Thakur,9.0,1,21,1,2.33,39,1,0,1,0,ODI no. 4493
282,BAN vs IND,Deepak Chahar,3.0,0,12,0,4.0,12,1,0,0,0,ODI no. 4496
283,BAN vs IND,Mohammed Siraj,10.0,0,73,2,7.3,35,10,1,4,1,ODI no. 4496
284,BAN vs IND,Shardul Thakur,10.0,1,47,0,4.7,35,2,2,2,0,ODI no. 4496
285,BAN vs IND,Umran Malik,10.0,2,58,2,5.8,35,9,0,1,1,ODI no. 4496
286,BAN vs IND,Washington Sundar,10.0,0,37,3,3.7,36,2,1,0,0,ODI no. 4496
287,BAN vs IND,Axar Patel,7.0,0,40,0,5.71,17,2,1,0,0,ODI no. 4496
288,BAN vs IND,Mohammed Siraj,5.0,0,27,1,5.4,16,2,1,0,0,ODI no. 4499
289,BAN vs IND,Shardul Thakur,5.0,0,30,3,6.0,22,3,2,2,0,ODI no. 4499
290,BAN vs IND,Axar Patel,5.0,0,22,2,4.4,15,2,0,0,0,ODI no. 4499
291,BAN vs IND,Umran Malik,8.0,0,43,2,5.37,24,5,0,0,1,ODI no. 4499
292,BAN vs IND,Kuldeep Yadav,10.0,1,53,1,5.3,31,2,3,1,0,ODI no. 4499
293,BAN vs IND,Washington Sundar,1.0,0,2,1,2.0,4,0,0,0,0,ODI no. 4499
294,IND vs SL,Mohammed Shami,9.0,0,67,1,7.44,29,9,1,2,0,ODI no. 4501
295,IND vs SL,Mohammed Siraj,7.0,1,30,2,4.28,29,3,1,0,0,ODI no. 4501
296,IND vs SL,Hardik Pandya,6.0,0,33,1,5.5,18,4,0,2,0,ODI no. 4501
297,IND vs SL,Umran Malik,8.0,0,57,3,7.12,27,10,0,4,0,ODI no. 4501
298,IND vs SL,Yuzvendra Chahal,10.0,0,58,1,5.8,33,6,2,0,0,ODI no. 4501
299,IND vs SL,Axar Patel,10.0,0,58,0,5.8,32,7,1,0,0,ODI no. 4501
300,IND vs SL,Mohammed Shami,7.0,0,43,0,6.14,23,7,0,1,0,ODI no. 4503
301,IND vs SL,Mohammed Siraj,5.4,0,30,3,5.29,24,4,1,2,0,ODI no. 4503
302,IND vs SL,Hardik Pandya,5.0,0,26,0,5.2,14,2,0,2,0,ODI no. 4503
303,IND vs SL,Umran Malik,7.0,0,48,2,6.85,21,6,1,0,1,ODI no. 4503
304,IND vs SL,Kuldeep Yadav,10.0,0,51,3,5.1,33,6,1,0,0,ODI no. 4503
305,IND vs SL,Axar Patel,5.0,0,16,1,3.2,18,1,0,0,0,ODI no. 4503
306,IND vs SL,Mohammed Shami,6.0,2,20,2,3.33,31,3,0,2,0,ODI no. 4505
307,IND vs SL,Mohammed Siraj,10.0,1,32,4,3.2,46,5,0,1,0,ODI no. 4505
308,IND vs SL,Kuldeep Yadav,5.0,1,16,2,3.2,23,3,0,0,0,ODI no. 4505
309,IND vs SL,Shreyas Iyer,1.0,0,2,0,2.0,4,0,0,0,0,ODI no. 4505
310,IND vs NZ,Mohammed Shami,10.0,1,69,1,6.9,30,8,3,0,0,ODI no. 4507
311,IND vs NZ,Mohammed Siraj,10.0,2,46,4,4.6,39,7,0,4,0,ODI no. 4507
312,IND vs NZ,Hardik Pandya,7.0,0,70,1,10.0,14,7,3,3,0,ODI no. 4507
313,IND vs NZ,Kuldeep Yadav,8.0,1,43,2,5.37,29,4,2,0,0,ODI no. 4507
314,IND vs NZ,Shardul Thakur,7.2,0,54,2,7.36,27,6,2,7,0,ODI no. 4507
315,IND vs NZ,Washington Sundar,7.0,0,50,0,7.14,18,3,3,0,0,ODI no. 4507
316,IND vs NZ,Mohammed Shami,6.0,1,18,3,3.0,30,3,0,3,0,ODI no. 4509
317,IND vs NZ,Mohammed Siraj,6.0,1,10,1,1.66,30,1,0,0,0,ODI no. 4509
318,IND vs NZ,Shardul Thakur,6.0,1,26,1,4.33,26,5,0,1,0,ODI no. 4509
319,IND vs NZ,Hardik Pandya,6.0,3,16,2,2.66,29,2,0,1,0,ODI no. 4509
320,IND vs NZ,Kuldeep Yadav,7.3,0,29,1,3.86,22,2,0,0,0,ODI no. 4509
321,IND vs NZ,Washington Sundar,3.0,1,7,2,2.33,13,0,0,0,0,ODI no. 4509
322,IND vs NZ,Hardik Pandya,6.0,0,37,1,6.16,23,3,2,3,0,ODI no. 4511
323,IND vs NZ,Washington Sundar,6.0,0,49,0,8.16,15,4,3,1,0,ODI no. 4511
324,IND vs NZ,Shardul Thakur,6.0,0,45,3,7.5,15,4,2,1,0,ODI no. 4511
325,IND vs NZ,Umran Malik,7.0,0,52,1,7.42,18,5,2,2,0,ODI no. 4511
326,IND vs NZ,Kuldeep Yadav,9.0,0,62,3,6.88,21,4,2,2,0,ODI no. 4511
327,IND vs NZ,Yuzvendra Chahal,7.2,0,43,2,5.86,22,3,2,0,0,ODI no. 4511
328,IND vs AUS,Mohammed Shami,6.0,2,17,3,2.83,30,1,1,2,0,ODI no. 4538
329,IND vs AUS,Mohammed Siraj,5.4,1,29,3,5.11,26,7,0,0,0,ODI no. 4538
330,IND vs AUS,Hardik Pandya,5.0,0,29,1,5.8,19,2,2,1,0,ODI no. 4538
331,IND vs AUS,Shardul Thakur,2.0,0,12,0,6.0,8,1,1,0,0,ODI no. 4538
332,IND vs AUS,Ravindra Jadeja,9.0,0,46,2,5.11,27,4,1,0,0,ODI no. 4538
333,IND vs AUS,Kuldeep Yadav,8.0,1,48,1,6.0,24,5,1,0,0,ODI no. 4538
334,IND vs AUS,Mohammed Shami,3.0,0,29,0,9.66,11,3,2,3,0,ODI no. 4541
335,IND vs AUS,Mohammed Siraj,3.0,0,37,0,12.33,6,8,0,1,0,ODI no. 4541
336,IND vs AUS,Axar Patel,3.0,0,25,0,8.33,7,4,0,0,0,ODI no. 4541
337,IND vs AUS,Hardik Pandya,1.0,0,18,0,18.0,3,0,3,0,0,ODI no. 4541
338,IND vs AUS,Kuldeep Yadav,1.0,0,12,0,12.0,2,1,1,0,0,ODI no. 4541
339,IND vs AUS,Mohammed Shami,6.0,0,37,0,6.16,23,4,2,0,0,ODI no. 4545
340,IND vs AUS,Mohammed Siraj,7.0,1,37,2,5.28,28,6,1,0,0,ODI no. 4545
341,IND vs AUS,Axar Patel,8.0,0,57,2,7.12,24,3,4,0,1,ODI no. 4545
342,IND vs AUS,Hardik Pandya,8.0,0,44,3,5.5,24,4,0,1,0,ODI no. 4545
343,IND vs AUS,Ravindra Jadeja,10.0,0,34,0,3.4,31,1,0,1,0,ODI no. 4545
344,IND vs AUS,Kuldeep Yadav,10.0,1,56,3,5.6,30,4,1,1,0,ODI no. 4545
345,WI vs IND,Hardik Pandya,3.0,0,17,1,5.66,13,2,1,0,0,ODI no. 4622
346,WI vs IND,Mukesh Kumar,5.0,1,22,1,4.4,21,3,0,2,0,ODI no. 4622
347,WI vs IND,Shardul Thakur,3.0,1,14,1,4.66,11,2,0,1,0,ODI no. 4622
348,WI vs IND,Ravindra Jadeja,6.0,0,37,3,6.16,18,2,1,2,2,ODI no. 4622
349,WI vs IND,Umran Malik,3.0,0,17,0,5.66,10,3,0,0,0,ODI no. 4622
350,WI vs IND,Kuldeep Yadav,3.0,2,6,4,2.0,15,0,0,0,0,ODI no. 4622
351,WI vs IND,Hardik Pandya,6.4,0,38,0,5.7,22,4,1,1,0,ODI no. 4623
352,WI vs IND,Mukesh Kumar,3.0,0,17,0,5.66,12,3,0,0,0,ODI no. 4623
353,WI vs IND,Umran Malik,3.0,0,27,0,9.0,9,3,1,1,0,ODI no. 4623
354,WI vs IND,Shardul Thakur,8.0,0,42,3,5.25,26,2,2,2,0,ODI no. 4623
355,WI vs IND,Kuldeep Yadav,8.0,0,30,1,3.75,25,1,0,1,0,ODI no. 4623
356,WI vs IND,Ravindra Jadeja,6.0,0,24,0,4.0,17,0,0,0,0,ODI no. 4623
357,WI vs IND,Axar Patel,2.0,1,4,0,2.0,8,0,0,0,0,ODI no. 4623
358,WI vs IND,Mukesh Kumar,7.0,1,30,3,4.28,33,2,1,4,2,ODI no. 4624
359,WI vs IND,Hardik Pandya,4.0,1,13,0,3.25,18,2,0,0,0,ODI no. 4624
360,WI vs IND,Shardul Thakur,6.3,0,37,4,5.69,23,5,1,0,0,ODI no. 4624
361,WI vs IND,Jaydev Unadkat,5.0,0,16,1,3.2,20,2,0,0,0,ODI no. 4624
362,WI vs IND,Kuldeep Yadav,8.0,3,25,2,3.12,39,3,1,0,0,ODI no. 4624
363,WI vs IND,Ravindra Jadeja,5.0,1,29,0,5.8,21,3,2,0,0,ODI no. 4624
