,Match,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,MatchId
58,WI vs IND,Kedar Jadhav,5.0,0,25,0,5.0,16,3,0,1,0,ODI no. 4197
59,WI vs IND,Ravindra Jadeja,4.0,0,15,1,3.75,13,1,0,0,1,ODI no. 4197
60,WI vs IND,Bhuvneshwar Kumar,5.0,1,48,0,9.6,15,5,3,3,0,ODI no. 4199
61,WI vs IND,Mohammed Shami,7.0,1,50,2,7.14,20,4,2,1,1,ODI no. 4199
62,WI vs IND,Khaleel Ahmed,7.0,0,68,3,9.71,19,7,4,0,0,ODI no. 4199
63,WI vs IND,Yuzvendra Chahal,7.0,0,32,1,4.57,21,1,1,1,0,ODI no. 4199
64,WI vs IND,Kedar Jadhav,4.0,0,13,0,3.25,14,1,0,0,0,ODI no. 4199
65,WI vs IND,Ravindra Jadeja,5.0,0,26,1,5.2,15,0,2,1,0,ODI no. 4199
66,IND vs WI,Deepak Chahar,10.0,1,48,1,4.8,32,4,1,0,0,ODI no. 4221
67,IND vs WI,Mohammed Shami,9.0,1,57,1,6.33,27,8,1,0,0,ODI no. 4221
68,IND vs WI,Kuldeep Yadav,10.0,0,45,0,4.5,31,0,1,3,0,ODI no. 4221
69,IND vs WI,Shivam Dube,7.5,0,68,0,8.68,13,9,1,0,0,ODI no. 4221
70,IND vs WI,Kedar Jadhav,1.0,0,11,0,11.0,1,2,0,0,0,ODI no. 4221
71,IND vs WI,Ravindra Jadeja,10.0,0,58,0,5.8,30,1,4,0,1,ODI no. 4221
72,IND vs WI,Deepak Chahar,7.0,1,44,0,6.28,23,6,1,2,0,ODI no. 4222
73,IND vs WI,Shardul Thakur,8.0,0,55,1,6.87,24,7,1,2,0,ODI no. 4222
74,IND vs WI,Mohammed Shami,7.3,0,39,3,5.2,27,5,1,1,0,ODI no. 4222
75,IND vs WI,Ravindra Jadeja,10.0,0,74,2,7.4,25,4,5,1,0,ODI no. 4222
76,IND vs WI,Kuldeep Yadav,10.0,0,52,3,5.2,34,2,4,0,0,ODI no. 4222
77,IND vs WI,Shreyas Iyer,1.0,0,13,0,13.0,3,1,1,2,0,ODI no. 4222
78,IND vs WI,Shardul Thakur,10.0,0,66,1,6.6,29,5,3,2,0,ODI no. 4223
79,IND vs WI,Mohammed Shami,10.0,2,66,1,6.6,27,5,3,0,0,ODI no. 4223
80,IND vs WI,Navdeep Saini,10.0,0,58,2,5.8,33,8,1,1,0,ODI no. 4223
81,IND vs WI,Kuldeep Yadav,10.0,0,67,0,6.7,27,3,5,0,0,ODI no. 4223
82,IND vs WI,Ravindra Jadeja,10.0,0,54,1,5.4,28,6,0,0,0,ODI no. 4223
83,IND vs AUS,Mohammed Shami,7.4,0,58,0,7.56,23,10,0,1,0,ODI no. 4231
84,IND vs AUS,Jasprit Bumrah,7.0,0,50,0,7.14,24,9,0,1,0,ODI no. 4231
85,IND vs AUS,Shardul Thakur,5.0,0,43,0,8.6,13,5,1,4,0,ODI no. 4231
