,Match,Name,Out/NotOut,Runs,Balls,4s,6s,SR,MatchId
75,WI vs IND,Rishabh Pant,1,20,35,2,0,57.14,ODI no. 4197
76,WI vs IND,Shreyas Iyer,1,71,68,5,1,104.41,ODI no. 4197
77,WI vs IND,Kedar Jadhav,1,16,14,2,0,114.28,ODI no. 4197
78,WI vs IND,Ravindra Jadeja,0,16,16,1,0,100.00,ODI no. 4197
79,WI vs IND,Bhuvneshwar Kumar,1,1,2,0,0,50.00,ODI no. 4197
80,WI vs IND,Mohammed Shami,0,3,5,0,0,60.00,ODI no. 4197
81,WI vs IND,Rohit Sharma,1,10,6,2,0,166.66,ODI no. 4199
82,WI vs IND,Shikhar Dhawan,1,36,36,5,0,100.00,ODI no. 4199
83,WI vs IND,Virat Kohli,0,114,99,14,0,115.15,ODI no. 4199
84,WI vs IND,Rishabh Pant,1,0,1,0,0,0.00,ODI no. 4199
85,WI vs IND,Shreyas Iyer,1,65,41,3,5,158.53,ODI no. 4199
86,WI vs IND,Kedar Jadhav,0,19,12,1,1,158.33,ODI no. 4199
87,IND vs WI,Rohit Sharma,1,36,56,6,0,64.28,ODI no. 4221
88,IND vs WI,KL Rahul,1,6,15,1,0,40.00,ODI no. 4221
89,IND vs WI,Virat Kohli,1,4,4,1,0,100.00,ODI no. 4221
90,IND vs WI,Shreyas Iyer,1,70,88,5,1,79.54,ODI no. 4221
91,IND vs WI,Rishabh Pant,1,71,69,7,1,102.89,ODI no. 4221
92,IND vs WI,Kedar Jadhav,1,40,35,3,1,114.28,ODI no. 4221
93,IND vs WI,Ravindra Jadeja,1,21,21,2,0,100.00,ODI no. 4221
94,IND vs WI,Shivam Dube,1,9,6,1,0,150.00,ODI no. 4221
95,IND vs WI,Deepak Chahar,0,6,8,0,0,75.00,ODI no. 4221
96,IND vs WI,Mohammed Shami,0,0,1,0,0,0.00,ODI no. 4221
97,IND vs WI,Rohit Sharma,1,159,138,17,5,115.21,ODI no. 4222
98,IND vs WI,KL Rahul,1,102,104,8,3,98.07,ODI no. 4222
99,IND vs WI,Virat Kohli,1,0,1,0,0,0.00,ODI no. 4222
100,IND vs WI,Shreyas Iyer,1,53,32,3,4,165.62,ODI no. 4222
101,IND vs WI,Rishabh Pant,1,39,16,3,4,243.75,ODI no. 4222
102,IND vs WI,Kedar Jadhav,0,16,10,3,0,160.00,ODI no. 4222
103,IND vs WI,Ravindra Jadeja,0,0,0,0,0,-,ODI no. 4222
104,IND vs WI,Rohit Sharma,1,63,63,8,1,100.00,ODI no. 4223
105,IND vs WI,KL Rahul,1,77,89,8,1,86.51,ODI no. 4223
106,IND vs WI,Virat Kohli,1,85,81,9,0,104.93,ODI no. 4223
107,IND vs WI,Shreyas Iyer,1,7,7,1,0,100.00,ODI no. 4223
