,Match,Name,Out/NotOut,Runs,Balls,4s,6s,SR,MatchId
328,WI vs IND,Shubman Gill,1,43,49,5,0,87.75,ODI no. 4438
329,WI vs IND,Shreyas Iyer,1,63,71,4,1,88.73,ODI no. 4438
330,WI vs IND,Suryakumar Yadav,1,9,8,0,1,112.50,ODI no. 4438
331,WI vs IND,Sanju Samson,1,54,51,3,3,105.88,ODI no. 4438
332,WI vs IND,Deepak Hooda,1,33,36,2,0,91.66,ODI no. 4438
333,WI vs IND,Axar Patel,0,64,35,3,5,182.85,ODI no. 4438
334,WI vs IND,Shardul Thakur,1,3,6,0,0,50.00,ODI no. 4438
335,WI vs IND,Avesh Khan,1,10,12,2,0,83.33,ODI no. 4438
336,WI vs IND,Mohammed Siraj,0,1,1,0,0,100.00,ODI no. 4438
337,WI vs IND,Shikhar Dhawan,1,58,74,7,0,78.37,ODI no. 4439
338,WI vs IND,Shubman Gill,0,98,98,7,2,100.00,ODI no. 4439
339,WI vs IND,Shreyas Iyer,1,44,34,4,1,129.41,ODI no. 4439
340,WI vs IND,Suryakumar Yadav,1,8,6,1,0,133.33,ODI no. 4439
341,WI vs IND,Sanju Samson,0,6,7,0,0,85.71,ODI no. 4439
342,ZIM vs IND,Shikhar Dhawan,0,81,113,9,0,71.68,ODI no. 4451
343,ZIM vs IND,Shubman Gill,0,82,72,10,1,113.88,ODI no. 4451
344,ZIM vs IND,Shikhar Dhawan,1,33,21,4,0,157.14,ODI no. 4454
345,ZIM vs IND,KL Rahul,1,1,5,0,0,20.00,ODI no. 4454
346,ZIM vs IND,Shubman Gill,1,33,34,6,0,97.05,ODI no. 4454
347,ZIM vs IND,Ishan Kishan,1,6,13,0,0,46.15,ODI no. 4454
348,ZIM vs IND,Deepak Hooda,1,25,36,3,0,69.44,ODI no. 4454
349,ZIM vs IND,Sanju Samson,0,43,39,3,4,110.25,ODI no. 4454
350,ZIM vs IND,Axar Patel,0,6,7,1,0,85.71,ODI no. 4454
351,ZIM vs IND,Shikhar Dhawan,1,40,68,5,0,58.82,ODI no. 4457
352,ZIM vs IND,KL Rahul,1,30,46,1,1,65.21,ODI no. 4457
353,ZIM vs IND,Shubman Gill,1,130,97,15,1,134.02,ODI no. 4457
354,ZIM vs IND,Ishan Kishan,1,50,61,6,0,81.96,ODI no. 4457
355,ZIM vs IND,Deepak Hooda,1,1,3,0,0,33.33,ODI no. 4457
356,ZIM vs IND,Sanju Samson,1,15,13,0,2,115.38,ODI no. 4457
357,ZIM vs IND,Axar Patel,1,1,4,0,0,25.00,ODI no. 4457
358,ZIM vs IND,Shardul Thakur,1,9,6,2,0,150.00,ODI no. 4457
359,ZIM vs IND,Deepak Chahar,0,1,1,0,0,100.00,ODI no. 4457
360,ZIM vs IND,Kuldeep Yadav,0,2,2,0,0,100.00,ODI no. 4457
361,IND vs SA,Shikhar Dhawan,1,4,16,0,0,25.00,ODI no. 4470
362,IND vs SA,Shubman Gill,1,3,7,0,0,42.85,ODI no. 4470
363,IND vs SA,Ruturaj Gaikwad,1,19,42,1,0,45.23,ODI no. 4470
364,IND vs SA,Ishan Kishan,1,20,37,3,0,54.05,ODI no. 4470
365,IND vs SA,Shreyas Iyer,1,50,37,8,0,135.13,ODI no. 4470
366,IND vs SA,Sanju Samson,0,86,63,9,3,136.50,ODI no. 4470
367,IND vs SA,Shardul Thakur,1,33,31,5,0,106.45,ODI no. 4470
368,IND vs SA,Kuldeep Yadav,1,0,1,0,0,0.00,ODI no. 4470
369,IND vs SA,Avesh Khan,1,3,6,0,0,50.00,ODI no. 4470
370,IND vs SA,Ravi Bishnoi,0,4,2,1,0,200.00,ODI no. 4470
371,IND vs SA,Shikhar Dhawan,1,13,20,0,1,65.00,ODI no. 4471
372,IND vs SA,Shubman Gill,1,28,26,5,0,107.69,ODI no. 4471
373,IND vs SA,Ishan Kishan,1,93,84,4,7,110.71,ODI no. 4471
374,IND vs SA,Shreyas Iyer,0,113,111,15,0,101.80,ODI no. 4471
375,IND vs SA,Sanju Samson,0,30,36,1,1,83.33,ODI no. 4471
376,IND vs SA,Shikhar Dhawan,1,8,14,1,0,57.14,ODI no. 4472
377,IND vs SA,Shubman Gill,1,49,57,8,0,85.96,ODI no. 4472
378,IND vs SA,Ishan Kishan,1,10,18,2,0,55.55,ODI no. 4472
379,IND vs SA,Shreyas Iyer,0,28,23,3,2,121.73,ODI no. 4472
380,IND vs SA,Sanju Samson,0,2,4,0,0,50.00,ODI no. 4472
381,NZ vs IND,Shikhar Dhawan,1,72,77,13,0,93.50,ODI no. 4483
382,NZ vs IND,Shubman Gill,1,50,65,1,3,76.92,ODI no. 4483
383,NZ vs IND,Shreyas Iyer,1,80,76,4,4,105.26,ODI no. 4483
384,NZ vs IND,Rishabh Pant,1,15,23,2,0,65.21,ODI no. 4483
385,NZ vs IND,Suryakumar Yadav,1,4,3,1,0,133.33,ODI no. 4483
386,NZ vs IND,Sanju Samson,1,36,38,4,0,94.73,ODI no. 4483
387,NZ vs IND,Washington Sundar,0,37,16,3,3,231.25,ODI no. 4483
388,NZ vs IND,Shardul Thakur,1,1,2,0,0,50.00,ODI no. 4483
389,NZ vs IND,Shikhar Dhawan,1,3,10,0,0,30.00,ODI no. 4487
390,NZ vs IND,Shubman Gill,0,45,42,4,1,107.14,ODI no. 4487
391,NZ vs IND,Suryakumar Yadav,0,34,25,2,3,136.00,ODI no. 4487
392,NZ vs IND,Shikhar Dhawan,1,28,45,3,1,62.22,ODI no. 4489
393,NZ vs IND,Shubman Gill,1,13,22,2,0,59.09,ODI no. 4489
394,NZ vs IND,Shreyas Iyer,1,49,59,8,0,83.05,ODI no. 4489
395,NZ vs IND,Rishabh Pant,1,10,16,2,0,62.50,ODI no. 4489
396,NZ vs IND,Suryakumar Yadav,1,6,10,0,0,60.00,ODI no. 4489
397,NZ vs IND,Deepak Hooda,1,12,25,0,0,48.00,ODI no. 4489
398,NZ vs IND,Washington Sundar,1,51,64,5,1,79.68,ODI no. 4489
399,NZ vs IND,Deepak Chahar,1,12,9,0,2,133.33,ODI no. 4489
400,NZ vs IND,Yuzvendra Chahal,1,8,22,0,0,36.36,ODI no. 4489
401,NZ vs IND,Arshdeep Singh,1,9,9,0,1,100.00,ODI no. 4489
402,NZ vs IND,Umran Malik,0,0,4,0,0,0.00,ODI no. 4489
403,BAN vs IND,Rohit Sharma,1,27,31,4,1,87.09,ODI no. 4493
404,BAN vs IND,Shikhar Dhawan,1,7,17,1,0,41.17,ODI no. 4493
405,BAN vs IND,Virat Kohli,1,9,15,1,0,60.00,ODI no. 4493
406,BAN vs IND,Shreyas Iyer,1,24,39,2,0,61.53,ODI no. 4493
407,BAN vs IND,KL Rahul,1,73,70,5,4,104.28,ODI no. 4493
408,BAN vs IND,Washington Sundar,1,19,43,0,0,44.18,ODI no. 4493
409,BAN vs IND,Shahbaz Ahmed,1,0,4,0,0,0.00,ODI no. 4493
410,BAN vs IND,Shardul Thakur,1,2,3,0,0,66.66,ODI no. 4493
411,BAN vs IND,Deepak Chahar,1,0,3,0,0,0.00,ODI no. 4493
412,BAN vs IND,Mohammed Siraj,1,9,20,1,0,45.00,ODI no. 4493
413,BAN vs IND,Kuldeep Sen,0,2,4,0,0,50.00,ODI no. 4493
414,BAN vs IND,Virat Kohli,1,5,6,1,0,83.33,ODI no. 4496
415,BAN vs IND,Shikhar Dhawan,1,8,10,1,0,80.00,ODI no. 4496
416,BAN vs IND,Shreyas Iyer,1,82,102,6,3,80.39,ODI no. 4496
417,BAN vs IND,Washington Sundar,1,11,19,1,0,57.89,ODI no. 4496
418,BAN vs IND,KL Rahul,1,14,28,0,0,50.00,ODI no. 4496
419,BAN vs IND,Axar Patel,1,56,56,2,3,100.00,ODI no. 4496
420,BAN vs IND,Shardul Thakur,1,7,23,0,0,30.43,ODI no. 4496
421,BAN vs IND,Deepak Chahar,1,11,18,0,1,61.11,ODI no. 4496
422,BAN vs IND,Rohit Sharma,0,51,28,3,5,182.14,ODI no. 4496
423,BAN vs IND,Mohammed Siraj,1,2,12,0,0,16.66,ODI no. 4496
424,BAN vs IND,Umran Malik,0,0,0,0,0,-,ODI no. 4496
425,BAN vs IND,Shikhar Dhawan,1,3,8,0,0,37.50,ODI no. 4499
426,BAN vs IND,Ishan Kishan,1,210,131,24,10,160.30,ODI no. 4499
427,BAN vs IND,Virat Kohli,1,113,91,11,2,124.17,ODI no. 4499
428,BAN vs IND,Shreyas Iyer,1,3,6,0,0,50.00,ODI no. 4499
429,BAN vs IND,KL Rahul,1,8,10,1,0,80.00,ODI no. 4499
430,BAN vs IND,Washington Sundar,1,37,27,4,1,137.03,ODI no. 4499
431,BAN vs IND,Axar Patel,1,20,17,1,1,117.64,ODI no. 4499
432,BAN vs IND,Shardul Thakur,1,3,5,0,0,60.00,ODI no. 4499
433,BAN vs IND,Kuldeep Yadav,0,3,3,0,0,100.00,ODI no. 4499
434,BAN vs IND,Mohammed Siraj,0,0,2,0,0,0.00,ODI no. 4499
435,IND vs SL,Rohit Sharma,1,83,67,9,3,123.88,ODI no. 4501
436,IND vs SL,Shubman Gill,1,70,60,11,0,116.66,ODI no. 4501
437,IND vs SL,Virat Kohli,1,113,87,12,1,129.88,ODI no. 4501
438,IND vs SL,Shreyas Iyer,1,28,24,3,1,116.66,ODI no. 4501
439,IND vs SL,KL Rahul,1,39,29,4,1,134.48,ODI no. 4501
440,IND vs SL,Hardik Pandya,1,14,12,0,1,116.66,ODI no. 4501
441,IND vs SL,Axar Patel,1,9,9,0,0,100.00,ODI no. 4501
442,IND vs SL,Mohammed Shami,0,4,4,0,0,100.00,ODI no. 4501
443,IND vs SL,Mohammed Siraj,0,7,8,0,0,87.50,ODI no. 4501
444,IND vs SL,Rohit Sharma,1,17,21,2,1,80.95,ODI no. 4503
445,IND vs SL,Shubman Gill,1,21,12,5,0,175.00,ODI no. 4503
446,IND vs SL,Virat Kohli,1,4,9,1,0,44.44,ODI no. 4503
447,IND vs SL,Shreyas Iyer,1,28,33,5,0,84.84,ODI no. 4503
448,IND vs SL,KL Rahul,0,64,103,6,0,62.13,ODI no. 4503
449,IND vs SL,Hardik Pandya,1,36,53,4,0,67.92,ODI no. 4503
450,IND vs SL,Axar Patel,1,21,21,1,1,100.00,ODI no. 4503
451,IND vs SL,Kuldeep Yadav,0,10,10,2,0,100.00,ODI no. 4503
452,IND vs SL,Rohit Sharma,1,42,49,2,3,85.71,ODI no. 4505
453,IND vs SL,Shubman Gill,1,116,97,14,2,119.58,ODI no. 4505
454,IND vs SL,Virat Kohli,0,166,110,13,8,150.90,ODI no. 4505
455,IND vs SL,Shreyas Iyer,1,38,32,2,1,118.75,ODI no. 4505
456,IND vs SL,KL Rahul,1,7,6,1,0,116.66,ODI no. 4505
457,IND vs SL,Suryakumar Yadav,1,4,4,0,0,100.00,ODI no. 4505
458,IND vs SL,Axar Patel,0,2,2,0,0,100.00,ODI no. 4505
459,IND vs NZ,Rohit Sharma,1,34,38,4,2,89.47,ODI no. 4507
460,IND vs NZ,Shubman Gill,1,208,149,19,9,139.59,ODI no. 4507
461,IND vs NZ,Virat Kohli,1,8,10,1,0,80.00,ODI no. 4507
462,IND vs NZ,Ishan Kishan,1,5,14,0,0,35.71,ODI no. 4507
463,IND vs NZ,Suryakumar Yadav,1,31,26,4,0,119.23,ODI no. 4507
464,IND vs NZ,Hardik Pandya,1,28,38,3,0,73.68,ODI no. 4507
465,IND vs NZ,Washington Sundar,1,12,14,0,0,85.71,ODI no. 4507
466,IND vs NZ,Shardul Thakur,1,3,3,0,0,100.00,ODI no. 4507
467,IND vs NZ,Kuldeep Yadav,0,5,6,0,0,83.33,ODI no. 4507
468,IND vs NZ,Mohammed Shami,0,2,2,0,0,100.00,ODI no. 4507
469,IND vs NZ,Rohit Sharma,1,51,50,7,2,102.00,ODI no. 4509
470,IND vs NZ,Shubman Gill,0,40,53,6,0,75.47,ODI no. 4509
471,IND vs NZ,Virat Kohli,1,11,9,2,0,122.22,ODI no. 4509
472,IND vs NZ,Ishan Kishan,0,8,9,2,0,88.88,ODI no. 4509
473,IND vs NZ,Rohit Sharma,1,101,85,9,6,118.82,ODI no. 4511
474,IND vs NZ,Shubman Gill,1,112,78,13,5,143.58,ODI no. 4511
475,IND vs NZ,Virat Kohli,1,36,27,3,1,133.33,ODI no. 4511
476,IND vs NZ,Ishan Kishan,1,17,24,1,1,70.83,ODI no. 4511
477,IND vs NZ,Suryakumar Yadav,1,14,9,0,2,155.55,ODI no. 4511
478,IND vs NZ,Hardik Pandya,1,54,38,3,3,142.10,ODI no. 4511
479,IND vs NZ,Washington Sundar,1,9,14,1,0,64.28,ODI no. 4511
480,IND vs NZ,Shardul Thakur,1,25,17,3,1,147.05,ODI no. 4511
481,IND vs NZ,Kuldeep Yadav,1,3,3,0,0,100.00,ODI no. 4511
482,IND vs NZ,Umran Malik,0,2,5,0,0,40.00,ODI no. 4511
483,IND vs AUS,Ishan Kishan,1,3,8,0,0,37.50,ODI no. 4538
484,IND vs AUS,Shubman Gill,1,20,31,3,0,64.51,ODI no. 4538
485,IND vs AUS,Virat Kohli,1,4,9,1,0,44.44,ODI no. 4538
486,IND vs AUS,Suryakumar Yadav,1,0,1,0,0,0.00,ODI no. 4538
487,IND vs AUS,KL Rahul,0,75,91,7,1,82.41,ODI no. 4538
488,IND vs AUS,Hardik Pandya,1,25,31,3,1,80.64,ODI no. 4538
489,IND vs AUS,Ravindra Jadeja,0,45,69,5,0,65.21,ODI no. 4538
490,IND vs AUS,Rohit Sharma,1,13,15,2,0,86.66,ODI no. 4541
491,IND vs AUS,Shubman Gill,1,0,2,0,0,0.00,ODI no. 4541
492,IND vs AUS,Virat Kohli,1,31,35,4,0,88.57,ODI no. 4541
493,IND vs AUS,Suryakumar Yadav,1,0,1,0,0,0.00,ODI no. 4541
494,IND vs AUS,KL Rahul,1,9,12,1,0,75.00,ODI no. 4541
495,IND vs AUS,Hardik Pandya,1,1,3,0,0,33.33,ODI no. 4541
496,IND vs AUS,Ravindra Jadeja,1,16,39,1,0,41.02,ODI no. 4541
497,IND vs AUS,Axar Patel,0,29,29,1,2,100.00,ODI no. 4541
498,IND vs AUS,Kuldeep Yadav,1,4,17,0,0,23.52,ODI no. 4541
499,IND vs AUS,Mohammed Shami,1,0,1,0,0,0.00,ODI no. 4541
500,IND vs AUS,Mohammed Siraj,1,0,3,0,0,0.00,ODI no. 4541
501,IND vs AUS,Rohit Sharma,1,30,17,2,2,176.47,ODI no. 4545
502,IND vs AUS,Shubman Gill,1,37,49,4,1,75.51,ODI no. 4545
503,IND vs AUS,Virat Kohli,1,54,72,2,1,75.00,ODI no. 4545
504,IND vs AUS,KL Rahul,1,32,50,2,1,64.00,ODI no. 4545
505,IND vs AUS,Axar Patel,1,2,4,0,0,50.00,ODI no. 4545
506,IND vs AUS,Hardik Pandya,1,40,40,3,1,100.00,ODI no. 4545
507,IND vs AUS,Suryakumar Yadav,1,0,1,0,0,0.00,ODI no. 4545
508,IND vs AUS,Ravindra Jadeja,1,18,33,1,0,54.54,ODI no. 4545
509,IND vs AUS,Kuldeep Yadav,1,6,15,0,0,40.00,ODI no. 4545
510,IND vs AUS,Mohammed Shami,1,14,10,1,1,140.00,ODI no. 4545
511,IND vs AUS,Mohammed Siraj,0,3,5,0,0,60.00,ODI no. 4545
512,WI vs IND,Ishan Kishan,1,52,46,7,1,113.04,ODI no. 4622
513,WI vs IND,Shubman Gill,1,7,16,1,0,43.75,ODI no. 4622
514,WI vs IND,Suryakumar Yadav,1,19,25,3,1,76.00,ODI no. 4622
515,WI vs IND,Hardik Pandya,1,5,7,0,0,71.42,ODI no. 4622
516,WI vs IND,Ravindra Jadeja,0,16,21,1,0,76.19,ODI no. 4622
517,WI vs IND,Shardul Thakur,1,1,4,0,0,25.00,ODI no. 4622
518,WI vs IND,Rohit Sharma,0,12,19,2,0,63.15,ODI no. 4622
519,WI vs IND,Ishan Kishan,1,55,55,6,1,100.00,ODI no. 4623
520,WI vs IND,Shubman Gill,1,34,49,5,0,69.38,ODI no. 4623
521,WI vs IND,Sanju Samson,1,9,19,0,0,47.36,ODI no. 4623
522,WI vs IND,Axar Patel,1,1,8,0,0,12.50,ODI no. 4623
523,WI vs IND,Hardik Pandya,1,7,14,0,0,50.00,ODI no. 4623
524,WI vs IND,Suryakumar Yadav,1,24,25,3,0,96.00,ODI no. 4623
525,WI vs IND,Ravindra Jadeja,1,10,21,0,0,47.61,ODI no. 4623
526,WI vs IND,Shardul Thakur,1,16,22,2,0,72.72,ODI no. 4623
527,WI vs IND,Kuldeep Yadav,0,8,23,1,0,34.78,ODI no. 4623
528,WI vs IND,Umran Malik,1,0,2,0,0,0.00,ODI no. 4623
529,WI vs IND,Mukesh Kumar,1,6,7,1,0,85.71,ODI no. 4623
530,WI vs IND,Ishan Kishan,1,77,64,8,3,120.31,ODI no. 4624
531,WI vs IND,Shubman Gill,1,85,92,11,0,92.39,ODI no. 4624
532,WI vs IND,Ruturaj Gaikwad,1,8,14,1,0,57.14,ODI no. 4624
533,WI vs IND,Sanju Samson,1,51,41,2,4,124.39,ODI no. 4624
534,WI vs IND,Hardik Pandya,0,70,52,4,5,134.61,ODI no. 4624
535,WI vs IND,Suryakumar Yadav,1,35,30,2,2,116.66,ODI no. 4624
536,WI vs IND,Ravindra Jadeja,0,8,7,0,0,114.28,ODI no. 4624
